Pre-Utterance Context,Student Utterance,Post-Utterance Context,Offering mathematical help,Successful Uptake,Asking for More Information
"[student] Five-sixths.
[teacher] What do you think?
[student] That that’s wrong.
[teacher] Okay.","Because you only [inaudible] this can, but five and six [inaudible] you only need one more to make six, and six …","[teacher] Okay, so which one [inaudible] is bigger?
[student] I think that I agree.
[teacher] Which one do you think is the largest?  [Inaudible].
[student] B.",1,1,0
"[student] Can we have one of your pens later if we don’t have one.
[teacher] If you don’t have your own.  But if you have your own, use yours first.  Do not flip these tests over yet.  Do not flip that over, Student G, do not even think about it.
[student] How many minutes do we have?
[teacher] Well, here’s what I did with the last class.  Ssssh.  I’ve been asked the question how many minutes do we get for this one. Yesterday I thought, wow, almost everybody finished in seven minutes, that was so great, maybe I’ll do six today. And then I saw that the last class needed – a lot of them were still working after six, so I gave them 7 minutes, 15 seconds, which was exactly what I gave them yesterday.  And a lot of kids did really well and some kids didn’t do quite as well because they don’t know their higher facts.  So I will give you 7 minutes, 15 seconds just like yesterday, and if you don’t do as well just know that you have some facts that you need to keep studying. When we’re finished we will switch with a partner or three-way just so that nobody has their own paper and I’ll pass out pens for those who need them.  So for the people who weren’t here yesterday, and there’s a lot of you, basically this is out of 100 points and however many you get right is what your score is.  So if you get 90 out of 100, that’s a 90 percent, because remember percent is always out of 100.  So my advice is if you get stuck on something, don’t sit there counting in your head, move on, because you want to come back to the hardest ones at the end.  Do as many as you possibly can first to get your score high and then go back afterwards to the ones that were harder at the very end. The people who weren’t here yesterday I might just time you for 7 minutes or so today for yesterday’s test because I want to get that one too.  If not, we’ll get it done next week. What’s your question?","Excuse me, are these all two digits, one digits, or just one digit?","[teacher] They’re all facts.  So it’s going to go up through 12 times 12 but just facts.  You’re not actually doing work, they’re facts that you should know.  And you’re good at your facts, so don’t worry about it. Other questions?  Don’t write your name until the end.  If you finish before the 7 minutes 15 seconds is up, write your name.  Otherwise when I say stop you’ll write your name.  You should have a pencil in your hand, not a pen, because you’re taking the test with a pencil.  Okay, flip it over and you may begin.
[teacher] Stop if you’re still working.  Please put your name on it.  If you’re done your name should already be on it.  Please make sure it is, first and last, and now you may switch papers with your partner.  If your partner’s not here, please do another switch just so you don’t have your own.
[student] [Inaudible]
[teacher] Yes we do, Student G.",0,0,1
"[student] If you build it, you will use the centimeter one [inaudible].
[teacher] You're gonna use the three quarter inch, the three quarter inch graph paper.  Student A?
[student] Number 4 is you plug in the actual answer.
[teacher] And then you're going to find the actual answer.  And once you have done that, you should say to yourself, hmmm, now that I know how to find the actual answer – eyes and ears up here.  How is that gonna help me with my prediction for number 2?  So this is very similar to or the same as what we were doing yesterday.  Student M?","If you do one of them first and then you know the actual answer when you do a check, you can use that check for the second one.  Like a prediction, you could use that.","[teacher] Absolutely.  Absolutely.  So on page 8 is where it may look slightly different.  So I'd like you to go to numbers 3, 4, and 5.  What do you notice about 3, 4, and 5?
[student] They don't have –
[teacher] Student N, what do you notice?
[student] [Inaudible].",0,0,0
"[teacher] He didn't put a question mark what?
[student] [Inaudible]
[student] One of them looked like a 29.
[teacher] How many problems did you do that way?","He did it with 4, but one was wrong.","[student] One was exactly wrong, I knew that.
[student] One of them looked like 29.
[teacher] What is that, Student T?
[student] It’s a 55.",0,1,0
"[student] And don’t make your numerator bigger than the denominator.  It just makes it really difficult to me.
[teacher] Well you only do that if you get messed up on something, right? That would be a clue that you had messed up on something unless it was a problem where you needed to regroup and subtract mixed numbers.  All right.  You got it?  You can use 6 and you can use – it’s up to you, but just make sure you get the correct answer and you understand why you got that answer.  You understand, Student J?
[student] Number three has the same thing, but [inaudible].
[teacher] Student S, that’s a check.  You’re talking to somebody that’s not even in my math class, so I know it’s off task. All right.  We’re going to go to number three.  Does anybody want to work this out for us?  How many of you think you got this right on your paper, seven twelfths minus one half?  How many of you think you did it correctly?  Raise your hand if you think you did this one correctly.  Okay.  All right.  Student J is going to work it out for us on the board.  Seven twelfths minus one twelfth.  Take us through the steps.","Okay, seven twelfths minus one twelfth but you cannot subtract it yet because the denominator is not the same.  So you’ve got to find out how to make this denominator match that denominator. How do you get 2 from 12?","[teacher] Well let’s get a common denominator first.  What common denominator are you going to use?  What’s a common multiple of 12 and 6?
[student] 6.
[teacher] 6 is not a multiple of 12.
[student] 24.",1,0,1
"[student] [Inaudible]
[teacher] And what’s the difference between these, what’s the relationship between the 5 and the 50.  That’s different. Is there a relationship?  There is no relationship between 5 and 50?  What is it?
[student] They both have 30, but one of them you have to add a zero at the end.
[teacher] Why is that though?","Because it’s 50 times 6.  It’s 5 times 6, but you have to add in the other zero.","[teacher] Okay, so can you explain it Student L?  You know what I’m after?
[student] [Inaudible]
[teacher] What am I doing when I add a 0?  I’m making it into 100?  Oh, over here.  What’s the relationship between the 5 and the 50?
[student] [Inaudible]",0,0,0
"[student] Oh, I get it.
[teacher] Okay.  Got it?  All right.  You take away whatever their remainder is from how many [one there].
[student] So each person – each partner gets one [bucket]?
[teacher] No, it’s between the two of you.  There’s 37 tiles between the two of you.  However you get down to one – or to zero, whoever has the most remainders in their tiles, they’re the winner.",What happens if you don’t have a remainder?  You don’t get –,"[teacher] You get zero and the number will stay the same.  Good question. So you can start, and then, Student T, there’s a [button] the next white one.
[student] Oh, is this correct?
[teacher] Okay, just a second.  Student T knows how to play.  Anyone want to play with Student T?
[student] No.",0,0,1
"[teacher] Well, the best way to check it is going to be to draw the picture and do the math part of it.  So let's look at what you have.  A lawn mower holds three fourths a gallon of gas.  So I'd be drawing that picture.  I could be drawing a whole gallon cut into fourths with three of it filled.
[student] Can you [find] the gallon?
[student] I don't know how to.
[teacher] I guess draw it – basically remember yesterday when I showed you the cups, like a cup of cheese.  You're just drawing a container and cut into fourths because you need to have three-fourths of it filled.  So that's the whole amount.",I can make it like that.  That's the way it fills up the gas.,"[teacher] That works.  So now show three fourths of that.
[student] I'm pretty [inaudible].
[teacher] You might wanna draw it a little bit bigger.  Like I wanna show this.  Like yesterday when we were talking about the cheese I showed you a picture.  And I said that she needed three fourths.  So that's one fourth, two fourths, three fourths, four fourths would be the whole thing.  And I said that she had to have this much, right?
[student] Mm-hmm.",0,0,0
"[teacher] Okay, but remember for consistency, we are rounding to the greatest place.
[student] Oh.
[student] So for estimate it’s 22.
[teacher] Okay, who said 20,000.  Okay, Student M, talk us through it, Student J is ready to write.","Well, since he has 11,000 you go the highest number which is the 10,000 and so you have the one there and you look over in the thousands place and there is also a 1 so you round it to 10,000 and then you look down at the bottom number and it’s a one also.  And you have a [Inaudible] so you round it to 10,000 again.","[student] She’s doing it by thousands.
[student] No, it was 10,000.
[teacher] She’s rounding to the greatest place, which is the 10,000, 11,000 is closer to 10,000 than it is to 20,000.  Okay, she’s rounding 14,730 is 4, think about it, is 14,730 closer to 10,000 or 20,000.
[student] 10,000.",1,0,0
"[student] [Inaudible]?
[teacher] Sometimes.
[teacher] But, Student M, it goes like that.  I’m showing you.
[teacher] The first person has 37.  If you want to keep track of what – what you’re dividing by [inaudible].",Remainder one and –,"[student] Okay, I don’t know what it is.
[teacher] Okay.  What are you gonna multiply by nine, there will be – well, you subtract one from 37 and you get 36, right?
[student] Nine, 18, 27, 36.
[teacher] Which is?",0,0,0
"[teacher] Let me see.  There are eight children wearing blue hats, and there are seven children wearing green.  There are 18 kids in all.  And Teacher wanted to know how many aren't wearing hats.  You gotta give me a little bit more background.  Why does Teacher care about kids wearing hats?
[student] 'Cause [inaudible].
[student] Because it's split.
[teacher] Why would they be split?",Because [inaudible].  She had [inaudible].  And she wanted to split half and half and them to go.,"[teacher] I like where you're going.  Keep going with it.  Well, do you see what I mean?  Like you're actually building a background story.  So there are children on a field trip. She was giving her students hats.  And she looks around and notices that eight of them are wearing blue hats and seven are wearing green.  How many students is she missing or how many students don't have their hats on?  Do you see what I'm – you're actually building a story out of the information.  Good.  Keep going with that.  Keep going with it.  You got to develop it more than that, but keep going with that.
[student] I only see one.
[teacher] We need a little background story here.  Where are these people?
[student] [By] the elephants.",0,0,0
"[student] It only has a factor of one.
[student] 2 is not prime.
[student] Yeah, it is.
[teacher] Okay, pick a number and factor it for me.  Pick one.",[Inaudible] only had 1 and itself as a factor.,"[teacher] Okay, how many factors do you see there, Student A?
[student] 2.
[teacher] Does that refresh your memory?  A prime number has?
[student] Two factors.",1,0,0
"[multiple students] Six.
[teacher] Six.  Is that our answer for perimeter?  That’s an answer?
[student] No.  Twelve plus twelve is -
[teacher] We need to add them.","Twelve plus twelve is twenty-four, and add six, because six is -","[student] Twelve, and [inaudible] plus twenty-four equals thirty-six.
[teacher] Very good.  Did everyone else get 36?  You had 36.  You had 36? Remember, I told you.  Perimeter is not a label.  You can’t call anything perimeter.  It’s not called 36 perimeter.  What did they tell you the answer has to be, Student M?
[student] In feet.
[teacher] Feet.  So the answer has to be thirty-six feet.",0,0,0
"[multiple students] 500.
[teacher] 500.  If you do 50 times 20 that’s doubling and that would be?
[multiple students] 1,000.
[teacher] 1,000.  All right.  I need someone to be teaching leader for Number 6.  Student D lead the class through Number 6.  You can erase the board.  You can erase.","So, thanks.  So the next one is 60 times 27 and our choices are 1,200, 1,600 and 2,000.  So what do you think –","[teacher] Talk to your students.
[student] What do you guys think it is?  Student A?
[teacher] Do you want to give them a chance to look at it first and figure it out?
[student] Sure.  Maybe, you could talk with a partner.",0,0,1
"[student] I counted the zero to the half, and then I counted all the way to the one.
[teacher] What are you counting, though?
[student] By the ones.
[teacher] Okay, what else are you counting?",The little half inches.,"[student] The little -
[student] Centimeters.
[student] These – like –
[teacher] What are you counting?  You’re counting the spaces?  Were you counting the spaces?  Were you counting spaces?",0,0,0
"[student] Mm-hmm.
[teacher] Think of a story.  Who are these people?  Where are they?  Why are they [in all this]?
[student] Can we have the pumpkin back 'cause this is too hard?
[teacher] No, you can't switch again.",So the pumpkins are easier though because [inaudible].,"[teacher] Kind of, yeah.  Well, let's talk about it together.  Let me see the picture.  So you say that these people are at the zoo, yes.  And they're on an elephant ride, yes.  So let's say that your character is the photographer.  And the photographer is being paid by these people to take their picture.  You with me so far?
[student] Yeah.
[teacher] Why might the photographer want to know maybe the fraction of people?
[student] Maybe the government asked to take a video of people to see how entertaining perhaps to monkey.  And then they –",0,0,0
"[student] Which school has about 100 fewer students than Apalene?
[teacher] Good job.  Good job.  And which is what?  It's – what kinda word is it?
[multiple students] A question.
[teacher] A question word, right?  So even though it's in the middle of that sentence, we can still find what it's asking us to do. So what are we gonna underline?  Read it to me.  Read what you're gonna underline.  Read what you're going to underline.  I didn't say underline yet.  Read what you're gonna underline to me.  Go ahead, Student J.","Each school has about 100 fewer students than Apalene School, so –","[teacher] Are we gonna underline show or explain?  We already know that we have to do that, right?  So underline it.  Which school has about 100 fewer students than Apalene School?  Now let's figure it out.  First thing we need to look at is which school?  What school do we need to look at first?
[student] Apalene.
[teacher] Apalene School.  And how many students does Apalene have, Student S?
[student] 675.",0,0,0
"[student] Teacher so I [inaudible].
[teacher] Mm-mmm, South Carolina no cause you’re just, they’re trying to do by the 10s we’re doing by the hundreds.
[student] That’s what we’re gonna do.
[teacher] You gonna keep going? Cause South Carolina had 500, 500 all the way over here. 500 is right here for South Carolina. This is 5, no this is actually 50, 100, 150 yes it’s 50.",I thought it was five.,"[student] Who is this?
[student] Why you writing that way?
[teacher] Good Student M now what you doing next you doing good? Yeah put the intervals please if it’s 450 I need you to write it on the side.
[teacher] [Inaudible].",0,0,0
"[student] Because you won't have enough groups.
[teacher] Yeah, I won't have enough groups, right?  But I'm trying to find groups.  So this means groups, friends.  Okay?  When you're drawing this out, you need to know that this means groups when you're drawing your circles.  The number inside stands for how many are in each group, and we’re not trying to find how many each group 'cause we know the answer to that.  How many are in each group, Student N?
[student] Four.
[teacher] Four.  We know that already, okay.  So the number that goes inside of that circle means the number in each group.  The circle means group.  Okay, so today we're trying to find groups.  So you want to keep circling until you – so what did you guys – so some of you are done.  So who can kind of take me through the process so I can move on and show you how to do remainders?  Can somebody raise their hand?  I'm gonna erase this if that's okay?  Okay?  It's up there on an anchor chart over there.  I need more room. So I'm going to write TIPS.  As I came around I felt like a lot of you were drawing out.  That was good.  You definitely want to draw something.  Because if you haven’t already – I came by and I just checked on a few of you right now so that was good.  So let's work on just drawing out.  What do I draw? Who wants to come up?  Let's have you guys teach.  Okay, Student J, come on up and draw whatever.  You can bring your book up if you want.  If you don't feel like you need it – and I’ll help you hold it.  That's fine.  Here you go. I can help you hold it.  Draw whatever you drew.  You can draw.",So I first I tried to do a few times to get me to 72.  First I tried 15 times 4 because you're using the 4 because you put 4 cookies in each bag so that equals 60.  So I know it's –,"[teacher] Do you just want to talk to the group though just so that they can hear?
[student] So I know that’s not right because I have to get to 72.  So then I took 17 times 4 and that gave me 68.  So then I moved up just one to 18 times 4 and then that 8 times 4 is 32 and that's 7 so that gave me 72.  So it's 18.
[teacher] Okay, so Student J figured out that the answer is 18.  So that's the way that he did it.  Okay.  Now he's using what's called algorithms which are quick and short, but what did I – what I'm trying to teach you is how to figure it out using pictures.  Okay? So who can come up – and that's fine, Student J, and you want to use that way and that's what works for you as a mathematician that helps you to be fast and quick, that's fine.  But today I really want to focus on drawing pictures.  Who can come up to the board and draw a picture of the problem because that to me is really important.  Student T, you want to try?  Sorry.  I said Student T, but come on Student T, that's fine.  I’ll get you next time Student T, okay?  I can hold it for you if you need help.
[student] First I did the circle.  I wrote 72 in the middle.  And then I knew that if there were 4 cookies in each bag so I did 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 50 – oops.",1,0,0
"[student] I need a ruler.
[teacher] You can go get a ruler.  You know where they are.
[student] Can we use a compass?
[teacher] No.  You don’t need a compass for anything.","I’d just use a pencil if you can’t use a crayon.  She said you can use a pencil.  This is hard, kind of.","[teacher] You can color it in like we did.  The second problem is 22 times 31, 22 rows of 31.
[teacher] Okay, so you’re gonna go down 18 and then over 27.
[student] I did that, but I’m not sure what to do next.
[teacher] You’re just trying to figure out the answer.  So you know right away that this is a group of 100 because that’s a 10 by 10.",0,0,0
"[student] The scale and the X axis first.
[teacher] Yeah.  I need to get my labels on there first, right?  X axis, Y axis, and what I'm going to use to label those.  After looking at your information, I'd like you to turn and talk to your partner.  What do you think should go across the bottom down here at the X axis?  Look at your information and decide what of that you're going to use to make your X axis?  Count of three, back to me.  1, 2, 3.  Student O, what would you think?
[student] I would think months down at the bottom.
[teacher] You're going to put the months at the bottom.  Why do you do that?","Because down here where they have that, this would be the line for it, and you draw the points somewhere along that line.","[teacher] In order to show change over time, your time items have to go along the X axis, okay?  So what are our time items that have to go down there, Student L?
[student] Our time items are like, May, June, July, and August.
[teacher] Yeah, the four months that we've chosen.  So go ahead and let's do that.  Student C, would you mind turning our other lights on please?  Thank you.
[student] Would number four be wrong – if the answer that – if there's a different answer for number four, would it be wrong?",1,0,0
"[student] 37.
[teacher] That will be the dividend.  So that means nine is your quotient, and the remainder is one, so therefore your divisor should be the four.  Because typically when you do – and the problem like here, you had 14 divided into 145. Your answer was 10 remainder five.  You actually would write it 110, five over 14, and that’s why it looks like that.
[student] Oh.
[teacher] Okay.",What is the divisor?,"[student] I just have to do two and I’m done.
[teacher] It’s all those words.  You’ve got to think back to the vocabulary, right?
[student] Yeah.  Okay, so –
[teacher] So here is your – 37 is the –",0,0,1
"[student] I notice something.  You said nine.  The same way I did [inaudible].
[teacher] Okay.  Right.
[student] The [inaudible] because.
[teacher] [Inaudible].","Oh, nine.","[student] You add.
[student] [Crosstalk].
[student] Because if you add - [crosstalk].
[student] And is a whole, the whole number is nine.",0,0,0
"[student] Slaves living in many states.
[teacher] Slaves in—
[student] In 19 something, or 1864.
[teacher] I heard that. Slaves living in—let’s put number of slaves in 1864 that’s the title.",I knew it that’s what I was going for.,"[teacher] Number of slaves in 1864.
[student] You don’t hear me though.
[teacher] Because all graphs have to have a?
[student] Number.",0,0,0
"[student] Prime.
[teacher] I heard it.  1 is special, what is so special about one? Student A?
[student] It has like if you like times it like the same number it will like, well like—
[teacher] Keep talking.","Well, if one and one is the same, it will be factors.","[teacher] Okay, she’s getting warmer.  She used the word factors.  1 is special, it has how many factors?
[student] One.
[teacher] Okay, and so if I’m writing this, it’s 1 times 1.  Does that help you.  Think factors, she said factors.  You’re on the right path, Student A.  Look at your other numbers and think factors.  Student L?
[student] They all have factors.",1,0,0
"[teacher] Are you ready to join them?
[student] Yes.
[teacher] I don’t want to hear anything inappropriate, and that goes for all four of you, all of your conversation needs to be about this.  I’m going to come see them and then I’m going to come see you.  Come sit here, face this group, and do a good job. How’s it going?
[multiple students] Good.",So $19.00….,"[student] We put a star there because we couldn't fit it.
[teacher] I’m trying to remember what your script is on?
[student] Grocery store and [Inaudible].
[teacher] The broccoli, right?",0,0,0
"[teacher] Why did you minus – oh, yeah, you forgot to subtract the three, Student H.  Remember, he gave three cows to his neighbor.
[student] Oh.  Wait, no he didn’t.
[student] Yes, he did.
[teacher] Is that your remainder then?  That’s your remainder.",You don’t have a remainder.,"[student] I got it.
[teacher] I know, but she forgot to take the – see the three cows he gave to his neighbor?
[student] Oh.
[teacher] Okay, you can go ahead and clean up.  You can clean up, you can clean up.  What have you got?  B?",0,0,0
"[student] Add.
[teacher] Add it’s what Student J?
[student] Add.
[teacher] He said it add it. Oh God Student S I noticed on your card that two sides didn’t have a number, why? Help her out.","You put the H that’s on the other side and then put the 6 that’s on top put it on the bottom, then you add both of the sides up and you make 28.","[teacher] Not both, you add all sides. So what’s 6 plus 8?
[student] 28.
[teacher] Nope. 6 plus 8!?
[student] 14.",1,0,0
